time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20080319:2100,12.97,62.95,0.0,-0.0,0.0,283.0,0.14,62.0,97884.0
20080319:2200,12.41,66.35,0.0,-0.0,0.0,283.8,0.28,20.0,97952.0
20080319:2300,12.05,68.25,0.0,-0.0,0.0,279.2,0.28,321.0,97991.0
20080320:0000,11.65,70.5,0.0,-0.0,0.0,278.2,0.48,331.0,97962.0
20080320:0100,11.1,72.5,0.0,-0.0,0.0,286.2,0.69,360.0,97962.0
20080320:0200,10.11,77.7,0.0,-0.0,0.0,299.2,1.17,27.0,97933.0
20080320:0300,9.11,84.4,0.0,-0.0,0.0,297.6,1.86,45.0,97884.0
20080320:0400,9.5,85.45,0.0,-0.0,0.0,318.6,2.55,49.0,97913.0
20080320:0500,9.96,86.25,0.0,-0.0,0.0,329.6,2.83,44.0,97933.0
20080320:0600,10.12,86.95,0.0,-0.0,0.0,337.2,3.03,43.0,97952.0
20080320:0700,10.74,85.1,12.0,0.0,12.0,330.6,3.24,48.0,98020.0
20080320:0800,11.02,82.5,40.0,0.0,40.0,336.6,4.07,56.0,98097.0
20080320:0900,11.44,77.9,127.0,0.0,127.0,336.2,4.9,61.0,98185.0
20080320:1000,11.68,75.25,277.0,10.27,270.0,331.8,4.69,60.0,98252.0
20080320:1100,12.27,70.8,78.0,0.0,78.0,332.0,4.9,60.0,98301.0
20080320:1200,12.8,66.9,172.0,0.0,172.0,335.0,5.03,63.0,98301.0
20080320:1300,12.84,66.8,151.0,0.0,151.0,342.4,4.76,62.0,98281.0
20080320:1400,13.06,66.15,183.0,0.0,183.0,326.0,4.83,65.0,98311.0
20080320:1500,12.77,68.35,273.0,29.02,256.0,317.8,4.83,65.0,98291.0
20080320:1600,11.98,76.8,168.0,14.13,162.0,328.8,4.83,62.0,98320.0
20080320:1700,11.34,82.95,117.0,76.78,99.0,326.8,4.34,58.0,98359.0
20080320:1800,11.0,85.5,0.0,0.0,0.0,333.4,4.34,57.0,98388.0
20080320:1900,10.49,88.0,0.0,-0.0,0.0,336.8,3.59,52.0,98446.0
20080320:2000,10.39,87.5,0.0,-0.0,0.0,345.2,3.66,53.0,98533.0
20080320:2100,10.25,87.35,0.0,-0.0,0.0,343.2,3.45,55.0,98572.0
20080320:2200,10.12,87.15,0.0,-0.0,0.0,341.2,3.45,55.0,98601.0
20080320:2300,9.91,87.0,0.0,-0.0,0.0,331.4,3.38,52.0,98611.0
20080321:0000,9.84,86.5,0.0,-0.0,0.0,337.4,3.17,48.0,98611.0
20080321:0100,9.53,87.0,0.0,-0.0,0.0,322.45,2.76,44.0,98572.0
20080321:0200,9.17,87.4,0.0,-0.0,0.0,303.2,2.55,40.0,98524.0
20080321:0300,8.91,87.4,0.0,-0.0,0.0,296.6,2.48,36.0,98485.0
20080321:0400,8.76,87.5,0.0,-0.0,0.0,303.6,2.34,35.0,98436.0
20080321:0500,8.59,87.9,0.0,-0.0,0.0,309.4,2.28,34.0,98398.0
20080321:0600,8.38,88.8,0.0,-0.0,0.0,315.6,2.07,32.0,98378.0
20080321:0700,8.75,87.85,150.0,506.78,54.0,300.8,1.93,38.0,98407.0
20080321:0800,10.03,78.85,365.0,720.21,88.0,287.6,1.86,48.0,98446.0
20080321:0900,11.49,69.05,540.0,709.34,147.0,294.4,1.86,73.0,98456.0
20080321:1000,12.81,60.85,703.0,798.64,155.0,296.2,1.45,103.0,98427.0
20080321:1100,13.93,56.05,812.0,848.46,157.0,325.2,2.14,141.0,98388.0
20080321:1200,14.48,54.85,849.0,845.28,168.0,328.6,2.07,153.0,98281.0
20080321:1300,15.07,53.25,837.0,886.77,141.0,314.2,2.62,168.0,98165.0
20080321:1400,15.55,52.95,746.0,856.47,137.0,304.0,3.24,187.0,98049.0
20080321:1500,14.93,59.0,595.0,785.75,132.0,302.2,3.86,203.0,97923.0
20080321:1600,14.38,64.4,401.0,663.97,117.0,290.0,4.07,220.0,97855.0
20080321:1700,13.93,68.9,186.0,433.65,83.0,286.8,4.14,232.0,97758.0
20080321:1800,13.24,74.45,0.0,0.0,0.0,284.4,3.86,238.0,97700.0
20080321:1900,12.52,79.65,0.0,-0.0,0.0,292.6,3.79,239.0,97681.0
20080321:2000,12.28,81.0,0.0,-0.0,0.0,297.2,3.79,246.0,97642.0
20080321:2100,12.27,80.4,0.0,-0.0,0.0,312.8,3.52,250.0,97661.0
20080321:2200,11.98,79.9,0.0,-0.0,0.0,299.0,3.31,253.0,97623.0
20080321:2300,11.71,78.85,0.0,-0.0,0.0,298.0,3.24,256.0,97535.0
20080322:0000,11.36,78.3,0.0,-0.0,0.0,299.2,3.03,260.0,97458.0
20080322:0100,10.8,78.8,0.0,-0.0,0.0,285.8,2.83,267.0,97351.0
20080322:0200,10.11,78.75,0.0,-0.0,0.0,274.2,2.55,277.0,97245.0
20080322:0300,9.48,78.45,0.0,-0.0,0.0,276.0,2.41,286.0,97129.0
20080322:0400,8.94,77.65,0.0,-0.0,0.0,275.4,2.41,290.0,97070.0
20080322:0500,8.54,76.15,0.0,-0.0,0.0,275.4,2.48,288.0,96993.0
20080322:0600,8.2,74.3,0.0,-0.0,0.0,270.2,2.62,287.0,96964.0
20080322:0700,8.85,70.5,147.0,416.21,66.0,266.6,2.41,281.0,96935.0
20080322:0800,12.29,62.2,307.0,377.24,160.0,268.0,2.28,270.0,96906.0
20080322:0900,15.98,41.4,551.0,738.93,138.0,274.0,2.9,247.0,96915.0
20080322:1000,17.76,37.8,720.0,846.83,135.0,279.6,3.66,237.0,96877.0
20080322:1100,19.05,35.1,821.0,865.57,149.0,285.2,4.41,236.0,96789.0
20080322:1200,20.13,32.25,872.0,912.63,133.0,288.2,5.31,239.0,96693.0
20080322:1300,20.92,29.5,841.0,887.55,141.0,292.2,6.41,240.0,96634.0
20080322:1400,21.04,29.25,742.0,825.62,152.0,294.6,7.38,239.0,96547.0
20080322:1500,20.39,32.2,592.0,757.7,143.0,296.4,7.59,240.0,96508.0
20080322:1600,19.48,35.7,399.0,640.52,123.0,296.0,7.38,242.0,96489.0
20080322:1700,18.22,40.3,196.0,498.76,76.0,298.2,7.1,243.0,96470.0
20080322:1800,16.78,46.35,0.0,0.0,0.0,295.0,6.21,241.0,96528.0
20080322:1900,14.96,55.6,0.0,-0.0,0.0,286.8,6.76,241.0,96576.0
20080322:2000,13.94,60.65,0.0,-0.0,0.0,284.0,6.48,242.0,96663.0
20080322:2100,13.19,64.2,0.0,-0.0,0.0,286.4,6.48,243.0,96722.0
20080322:2200,12.57,66.7,0.0,-0.0,0.0,287.4,6.34,246.0,96693.0
20080322:2300,12.06,68.7,0.0,-0.0,0.0,286.6,5.93,250.0,96712.0
20080323:0000,11.45,70.85,0.0,-0.0,0.0,288.4,4.97,258.0,96702.0
20080323:0100,11.09,72.45,0.0,-0.0,0.0,292.0,3.79,268.0,96731.0
20080323:0200,10.46,73.65,0.0,-0.0,0.0,285.6,2.83,271.0,96751.0
20080323:0300,9.83,73.65,0.0,-0.0,0.0,272.8,2.48,282.0,96789.0
20080323:0400,8.83,74.8,0.0,-0.0,0.0,262.8,2.28,297.0,96896.0
20080323:0500,7.74,74.2,0.0,-0.0,0.0,258.4,2.21,315.0,96993.0
20080323:0600,6.78,71.45,0.0,-0.0,0.0,254.8,2.07,326.0,97099.0
20080323:0700,6.62,67.0,154.0,450.49,64.0,248.6,2.07,326.0,97206.0
20080323:0800,8.88,42.95,364.0,651.1,107.0,245.6,3.17,322.0,97303.0
20080323:0900,10.14,35.65,551.0,713.06,149.0,246.2,3.17,319.0,97409.0
20080323:1000,11.34,30.1,722.0,832.59,143.0,247.6,2.9,312.0,97458.0
20080323:1100,12.33,25.55,826.0,867.17,149.0,254.2,2.48,299.0,97564.0
20080323:1200,12.97,22.25,744.0,514.87,325.0,263.0,2.21,277.0,97603.0
20080323:1300,13.24,20.85,804.0,748.31,211.0,278.0,2.28,248.0,97661.0
20080323:1400,13.58,18.9,676.0,589.03,253.0,287.6,2.55,242.0,97661.0
20080323:1500,13.69,17.45,486.0,370.88,265.0,287.8,2.83,254.0,97700.0
20080323:1600,13.95,16.5,431.0,810.98,79.0,275.2,3.1,262.0,97758.0
20080323:1700,13.76,17.4,130.0,102.61,105.0,269.8,3.24,253.0,97816.0
20080323:1800,13.29,19.1,0.0,0.0,0.0,249.0,3.24,256.0,97875.0
20080323:1900,12.22,22.95,0.0,-0.0,0.0,247.6,2.76,274.0,97991.0
20080323:2000,11.43,28.9,0.0,-0.0,0.0,251.2,2.48,276.0,98126.0
20080323:2100,10.02,42.3,0.0,-0.0,0.0,246.8,2.07,278.0,98204.0
20080323:2200,9.19,43.0,0.0,-0.0,0.0,246.0,1.72,279.0,98311.0
20080323:2300,8.98,38.85,0.0,-0.0,0.0,244.0,1.59,289.0,98340.0
20080324:0000,8.57,38.9,0.0,-0.0,0.0,242.6,1.52,298.0,98340.0
20080324:0100,7.64,43.15,0.0,-0.0,0.0,242.2,1.66,292.0,98330.0
20080324:0200,6.57,49.0,0.0,-0.0,0.0,242.2,1.86,290.0,98320.0
20080324:0300,5.69,54.1,0.0,-0.0,0.0,242.2,2.07,292.0,98311.0
20080324:0400,5.2,56.15,0.0,-0.0,0.0,242.6,2.14,298.0,98281.0
20080324:0500,4.89,56.85,0.0,-0.0,0.0,242.2,2.14,298.0,98243.0
20080324:0600,4.67,56.85,0.0,-0.0,0.0,242.2,2.14,300.0,98243.0
20080324:0700,5.97,51.5,159.0,453.78,66.0,242.8,1.86,294.0,98291.0
20080324:0800,8.46,54.45,370.0,655.43,108.0,246.6,1.66,289.0,98340.0
20080324:0900,12.27,30.5,562.0,743.95,139.0,252.4,1.59,270.0,98388.0
20080324:1000,14.05,26.85,727.0,834.3,143.0,258.8,1.59,234.0,98407.0
20080324:1100,15.44,25.95,831.0,868.8,149.0,264.4,2.14,203.0,98417.0
20080324:1200,16.36,26.45,881.0,914.65,133.0,268.8,2.97,193.0,98388.0
20080324:1300,16.75,27.95,850.0,889.25,142.0,271.6,3.66,195.0,98340.0
20080324:1400,16.54,29.9,754.0,843.97,145.0,272.8,3.86,202.0,98320.0
20080324:1500,16.21,31.05,605.0,789.47,132.0,272.4,3.79,211.0,98272.0
20080324:1600,15.81,32.4,415.0,695.41,111.0,271.4,3.79,218.0,98291.0
20080324:1700,15.11,35.1,202.0,506.74,77.0,270.2,3.59,222.0,98301.0
20080324:1800,14.07,40.85,0.0,0.0,0.0,267.6,2.9,228.0,98311.0
20080324:1900,13.11,50.0,0.0,-0.0,0.0,266.6,2.34,235.0,98349.0
20080324:2000,12.59,54.75,0.0,-0.0,0.0,265.6,2.14,258.0,98359.0
20080324:2100,11.83,61.4,0.0,-0.0,0.0,265.4,2.0,284.0,98369.0
20080324:2200,10.52,68.3,0.0,-0.0,0.0,266.0,1.86,296.0,98407.0
20080324:2300,9.31,71.45,0.0,-0.0,0.0,266.0,1.93,293.0,98417.0
20080325:0000,8.3,73.5,0.0,-0.0,0.0,265.4,2.0,288.0,98398.0
20080325:0100,7.51,74.6,0.0,-0.0,0.0,264.6,2.07,285.0,98388.0
20080325:0200,6.89,75.35,0.0,-0.0,0.0,263.8,2.21,287.0,98378.0
20080325:0300,6.35,76.2,0.0,-0.0,0.0,262.6,2.28,292.0,98349.0
20080325:0400,5.89,76.9,0.0,-0.0,0.0,262.0,2.28,298.0,98349.0
20080325:0500,5.52,77.7,0.0,-0.0,0.0,261.4,2.21,304.0,98359.0
20080325:0600,5.34,77.75,0.0,0.0,0.0,260.4,2.07,309.0,98369.0
20080325:0700,6.68,73.25,167.0,490.26,64.0,262.2,1.79,308.0,98407.0
20080325:0800,11.48,57.75,377.0,669.58,106.0,266.0,1.24,288.0,98466.0
20080325:0900,15.05,39.4,568.0,746.46,140.0,273.6,1.72,225.0,98495.0
20080325:1000,16.28,40.4,732.0,836.03,143.0,279.4,2.48,210.0,98533.0
20080325:1100,17.2,39.95,841.0,885.66,142.0,283.6,3.17,206.0,98533.0
20080325:1200,17.81,39.4,895.0,949.19,115.0,286.6,3.66,206.0,98485.0
20080325:1300,18.29,38.1,854.0,890.17,142.0,288.2,4.07,207.0,98436.0
20080325:1400,18.45,37.05,761.0,860.67,137.0,289.0,4.55,208.0,98388.0
20080325:1500,17.9,38.95,612.0,805.17,127.0,296.0,4.69,213.0,98349.0
20080325:1600,17.28,42.45,411.0,656.48,122.0,308.6,4.14,221.0,98330.0
20080325:1700,16.71,47.3,205.0,508.65,78.0,296.4,3.72,226.0,98311.0
20080325:1800,15.79,55.35,11.0,0.0,11.0,284.4,2.97,229.0,98281.0
20080325:1900,15.14,61.8,0.0,-0.0,0.0,284.0,2.69,242.0,98281.0
20080325:2000,14.81,63.65,0.0,-0.0,0.0,283.6,2.21,263.0,98311.0
20080325:2100,13.99,65.8,0.0,-0.0,0.0,284.8,1.93,285.0,98301.0
20080325:2200,12.67,69.3,0.0,-0.0,0.0,283.2,1.86,303.0,98378.0
20080325:2300,11.39,71.8,0.0,-0.0,0.0,281.0,1.86,317.0,98359.0
20080326:0000,10.34,73.9,0.0,-0.0,0.0,279.0,1.93,319.0,98330.0
20080326:0100,9.59,76.2,0.0,-0.0,0.0,277.2,1.93,313.0,98330.0
20080326:0200,8.77,79.9,0.0,-0.0,0.0,275.8,2.07,307.0,98301.0
20080326:0300,8.17,81.85,0.0,-0.0,0.0,275.2,2.21,303.0,98272.0
20080326:0400,7.67,83.35,0.0,-0.0,0.0,273.4,2.34,302.0,98262.0
20080326:0500,7.21,84.65,0.0,-0.0,0.0,272.4,2.28,301.0,98223.0
20080326:0600,6.83,85.55,0.0,0.0,0.0,271.6,2.28,299.0,98262.0
20080326:0700,8.26,79.4,173.0,506.45,64.0,272.4,2.14,288.0,98291.0
20080326:0800,13.07,59.75,381.0,661.45,110.0,275.8,1.93,273.0,98320.0
20080326:0900,16.53,44.45,563.0,705.73,155.0,282.8,2.76,242.0,98330.0
20080326:1000,18.07,40.35,737.0,837.79,143.0,288.6,3.66,230.0,98320.0
20080326:1100,19.37,37.05,854.0,921.3,123.0,292.6,4.69,232.0,98262.0
20080326:1200,20.48,33.6,909.0,985.88,95.0,297.2,5.1,235.0,98165.0
20080326:1300,21.47,29.65,872.0,942.16,115.0,300.6,5.1,239.0,98049.0
20080326:1400,22.3,25.0,761.0,845.7,145.0,301.2,5.31,244.0,97942.0
20080326:1500,22.55,21.45,588.0,690.3,170.0,300.6,5.38,252.0,97894.0
20080326:1600,22.17,22.25,389.0,530.15,154.0,297.6,5.38,264.0,97855.0
20080326:1700,21.25,25.2,211.0,534.3,76.0,298.4,5.24,269.0,97884.0
20080326:1800,19.89,29.7,6.0,0.0,6.0,297.8,5.03,262.0,97904.0
20080326:1900,18.09,36.3,0.0,-0.0,0.0,292.0,4.48,250.0,97933.0
20080326:2000,17.14,39.35,0.0,-0.0,0.0,287.4,3.72,249.0,98039.0
20080326:2100,16.22,42.8,0.0,-0.0,0.0,286.0,3.03,238.0,98117.0
20080326:2200,14.94,50.55,0.0,-0.0,0.0,286.6,2.76,236.0,98146.0
20080326:2300,14.29,53.25,0.0,-0.0,0.0,287.2,2.41,258.0,98223.0
20080327:0000,13.05,57.95,0.0,-0.0,0.0,292.2,2.34,282.0,98262.0
20080327:0100,12.03,61.7,0.0,-0.0,0.0,295.6,2.48,295.0,98281.0
20080327:0200,11.21,64.55,0.0,-0.0,0.0,289.0,2.41,308.0,98252.0
20080327:0300,10.67,65.85,0.0,-0.0,0.0,293.8,2.34,317.0,98252.0
20080327:0400,9.84,68.5,0.0,-0.0,0.0,280.0,2.21,316.0,98281.0
20080327:0500,9.26,70.55,0.0,-0.0,0.0,282.8,2.07,308.0,98340.0
20080327:0600,8.76,71.05,0.0,0.0,0.0,278.2,2.0,299.0,98359.0
20080327:0700,10.31,65.2,184.0,571.85,58.0,292.2,1.86,291.0,98427.0
20080327:0800,13.36,49.25,384.0,651.15,114.0,287.4,2.28,282.0,98504.0
20080327:0900,15.94,38.2,612.0,912.77,80.0,295.2,2.62,262.0,98495.0
20080327:1000,17.7,33.5,746.0,854.99,136.0,298.6,3.45,249.0,98553.0
20080327:1100,19.03,32.4,841.0,855.07,159.0,304.2,4.28,245.0,98495.0
20080327:1200,20.23,31.7,923.0,1022.28,75.0,308.2,4.97,244.0,98388.0
20080327:1300,21.22,30.35,848.0,842.57,168.0,314.4,5.45,245.0,98320.0
20080327:1400,21.98,27.7,773.0,878.74,130.0,315.4,5.59,246.0,98214.0
20080327:1500,22.28,25.45,599.0,719.59,161.0,312.8,5.24,251.0,98136.0
20080327:1600,21.94,25.75,395.0,542.25,153.0,317.2,5.03,262.0,98107.0
20080327:1700,20.88,29.85,208.0,485.08,84.0,316.8,4.48,271.0,98088.0
20080327:1800,19.77,35.25,13.0,0.0,13.0,311.0,3.79,266.0,98097.0
20080327:1900,18.39,41.3,0.0,-0.0,0.0,308.4,3.38,256.0,98126.0
20080327:2000,17.58,44.6,0.0,-0.0,0.0,307.0,2.9,254.0,98204.0
20080327:2100,16.59,48.9,0.0,-0.0,0.0,301.8,2.41,254.0,98252.0
20080327:2200,15.49,53.75,0.0,-0.0,0.0,297.8,2.28,267.0,98214.0
20080327:2300,14.46,58.5,0.0,-0.0,0.0,300.0,2.14,278.0,98243.0
20080328:0000,13.51,62.75,0.0,-0.0,0.0,297.0,2.07,288.0,98252.0
20080328:0100,12.49,66.7,0.0,-0.0,0.0,293.4,2.0,297.0,98272.0
20080328:0200,11.65,70.75,0.0,-0.0,0.0,292.6,2.0,307.0,98262.0
20080328:0300,11.06,73.25,0.0,-0.0,0.0,291.4,2.0,316.0,98262.0
20080328:0400,10.75,74.4,0.0,-0.0,0.0,291.2,1.93,322.0,98281.0
20080328:0500,10.46,76.05,0.0,-0.0,0.0,291.0,1.86,322.0,98301.0
20080328:0600,9.99,78.7,0.0,0.0,0.0,289.2,1.86,321.0,98330.0
20080328:0700,11.44,71.05,185.0,527.89,66.0,291.4,1.59,334.0,98378.0
20080328:0800,15.36,56.75,396.0,693.58,105.0,294.4,0.97,343.0,98427.0
20080328:0900,18.64,42.4,580.0,737.0,147.0,301.6,0.55,140.0,98475.0
20080328:1000,19.75,41.45,747.0,839.99,144.0,307.6,1.93,165.0,98495.0
20080328:1100,20.42,41.35,850.0,873.14,150.0,312.0,2.55,176.0,98543.0
20080328:1200,20.77,41.65,899.0,918.01,134.0,314.6,2.69,184.0,98533.0
20080328:1300,21.08,41.5,861.0,875.92,151.0,316.6,2.97,188.0,98504.0
20080328:1400,21.07,41.9,768.0,847.6,145.0,317.6,3.17,191.0,98436.0
20080328:1500,20.53,43.9,612.0,763.35,145.0,317.0,3.1,195.0,98398.0
20080328:1600,19.72,46.5,416.0,636.59,130.0,318.4,2.9,206.0,98407.0
20080328:1700,18.93,48.65,148.0,131.49,114.0,313.4,2.48,213.0,98436.0
20080328:1800,18.09,51.15,15.0,0.0,15.0,316.2,1.86,216.0,98446.0
20080328:1900,17.23,59.7,0.0,-0.0,0.0,314.2,0.69,191.0,98475.0
20080328:2000,16.83,61.75,0.0,-0.0,0.0,315.0,0.28,190.0,98543.0
20080328:2100,16.51,63.2,0.0,-0.0,0.0,317.0,0.14,207.0,98621.0
20080328:2200,16.08,64.9,0.0,-0.0,0.0,310.6,0.21,338.0,98650.0
20080328:2300,15.82,64.5,0.0,-0.0,0.0,307.6,0.48,5.0,98679.0
20080329:0000,15.51,64.5,0.0,-0.0,0.0,314.6,0.83,34.0,98679.0
20080329:0100,14.09,70.4,0.0,-0.0,0.0,317.25,1.31,56.0,98698.0
20080329:0200,13.13,76.05,0.0,-0.0,0.0,316.8,1.66,56.0,98669.0
20080329:0300,12.7,79.2,0.0,-0.0,0.0,318.0,2.07,47.0,98640.0
20080329:0400,12.55,80.75,0.0,-0.0,0.0,321.2,2.28,44.0,98679.0
20080329:0500,12.36,82.2,0.0,-0.0,0.0,318.0,2.48,45.0,98708.0
20080329:0600,12.1,83.45,0.0,0.0,0.0,311.4,2.69,45.0,98727.0
20080329:0700,12.7,81.65,86.0,17.35,82.0,323.8,2.62,40.0,98766.0
20080329:0800,14.73,67.15,338.0,381.68,176.0,330.4,3.59,43.0,98785.0
20080329:0900,16.0,58.85,361.0,114.83,293.0,329.8,4.28,47.0,98805.0
20080329:1000,17.32,52.6,432.0,96.92,362.0,331.2,4.9,52.0,98795.0
20080329:1100,18.39,48.4,612.0,258.14,404.0,329.8,5.38,56.0,98785.0
20080329:1200,19.27,45.2,605.0,209.06,430.0,325.8,5.52,58.0,98747.0
20080329:1300,19.86,42.7,746.0,524.53,319.0,328.0,5.52,60.0,98688.0
20080329:1400,20.15,41.2,713.0,644.76,237.0,323.6,5.59,62.0,98582.0
20080329:1500,19.97,41.75,496.0,356.19,277.0,317.8,5.59,61.0,98514.0
20080329:1600,19.53,43.2,273.0,126.04,216.0,309.8,5.59,60.0,98485.0
20080329:1700,18.45,47.65,132.0,76.49,112.0,307.2,5.45,60.0,98495.0
20080329:1800,16.83,55.4,11.0,0.0,11.0,312.4,4.97,56.0,98504.0
20080329:1900,15.5,62.65,0.0,-0.0,0.0,298.0,4.48,52.0,98553.0
20080329:2000,14.82,65.45,0.0,-0.0,0.0,306.2,4.0,45.0,98572.0
20080329:2100,14.31,66.95,0.0,-0.0,0.0,296.4,3.38,42.0,98640.0
20080329:2200,13.86,68.15,0.0,-0.0,0.0,298.4,2.69,36.0,98688.0
20080329:2300,13.42,69.2,0.0,-0.0,0.0,301.6,2.48,25.0,98669.0
20080330:0000,12.63,72.05,0.0,-0.0,0.0,288.6,2.34,13.0,98611.0
20080330:0100,11.76,76.5,0.0,-0.0,0.0,288.6,2.14,3.0,98543.0
20080330:0200,10.78,81.55,0.0,-0.0,0.0,287.2,1.79,353.0,98504.0
20080330:0300,10.34,83.45,0.0,-0.0,0.0,284.6,1.52,329.0,98475.0
20080330:0400,9.71,85.25,0.0,-0.0,0.0,283.8,1.72,302.0,98504.0
20080330:0500,9.21,86.2,0.0,-0.0,0.0,283.8,1.86,288.0,98495.0
20080330:0600,9.43,81.9,0.0,0.0,0.0,285.6,1.93,276.0,98543.0
20080330:0700,11.03,74.8,191.0,500.99,73.0,285.0,1.52,261.0,98591.0
20080330:0800,14.53,63.35,409.0,712.82,103.0,291.2,2.28,223.0,98640.0
20080330:0900,16.38,58.85,554.0,596.56,198.0,298.8,3.03,218.0,98679.0
20080330:1000,17.78,55.9,744.0,795.57,166.0,304.6,3.79,216.0,98727.0
20080330:1100,18.9,53.95,817.0,736.02,221.0,309.8,4.62,218.0,98717.0
20080330:1200,19.78,51.8,434.0,41.63,399.0,313.0,5.31,221.0,98650.0
20080330:1300,20.61,48.45,821.0,722.94,230.0,315.0,5.59,221.0,98591.0
20080330:1400,20.54,48.65,711.0,632.54,242.0,316.4,5.52,221.0,98504.0
20080330:1500,20.53,48.6,612.0,736.4,157.0,314.2,5.31,225.0,98407.0
20080330:1600,20.49,47.7,221.0,43.94,201.0,317.0,5.1,227.0,98320.0
20080330:1700,20.36,46.75,219.0,514.41,83.0,311.4,4.97,235.0,98272.0
20080330:1800,20.07,45.85,21.0,68.29,17.0,308.8,4.34,244.0,98272.0
20080330:1900,18.98,47.1,0.0,-0.0,0.0,303.8,4.0,250.0,98301.0
20080330:2000,18.26,47.25,0.0,-0.0,0.0,300.0,3.59,251.0,98349.0
20080330:2100,17.36,49.25,0.0,-0.0,0.0,296.6,3.59,252.0,98417.0
20080330:2200,16.47,51.2,0.0,-0.0,0.0,298.0,3.45,259.0,98446.0
20080330:2300,15.62,53.15,0.0,-0.0,0.0,300.0,3.17,267.0,98504.0
20080331:0000,14.72,55.8,0.0,-0.0,0.0,293.4,2.83,278.0,98553.0
20080331:0100,14.34,57.35,0.0,-0.0,0.0,292.2,1.86,294.0,98572.0
20080331:0200,12.76,59.3,0.0,-0.0,0.0,288.2,1.93,319.0,98601.0
20080331:0300,11.87,58.8,0.0,-0.0,0.0,281.8,1.86,343.0,98650.0
20080331:0400,11.11,58.6,0.0,-0.0,0.0,276.6,1.93,6.0,98727.0
20080331:0500,10.41,58.3,0.0,-0.0,0.0,274.4,2.0,16.0,98824.0
20080331:0600,10.02,56.7,0.0,0.0,0.0,266.0,1.86,17.0,98902.0
20080331:0700,11.73,49.85,194.0,486.4,77.0,265.4,1.17,22.0,99027.0
20080331:0800,13.46,40.75,405.0,663.46,117.0,267.2,1.24,333.0,99115.0
20080331:0900,15.38,32.25,595.0,743.39,148.0,271.4,1.38,289.0,99183.0
20080331:1000,17.08,27.5,757.0,827.88,152.0,276.2,1.72,241.0,99221.0
20080331:1100,18.35,25.15,863.0,876.23,150.0,281.8,2.83,207.0,99231.0
20080331:1200,19.18,25.35,926.0,972.24,105.0,286.4,4.0,197.0,99212.0
20080331:1300,19.08,28.65,877.0,895.39,142.0,288.2,4.41,197.0,99183.0
20080331:1400,18.67,32.6,770.0,817.87,161.0,289.2,4.41,201.0,99153.0
20080331:1500,18.23,34.3,632.0,811.78,128.0,288.8,4.21,208.0,99095.0
20080331:1600,16.97,26.68,433.0,678.98,122.0,270.04,2.71,214.0,99066.0
20080331:1700,16.5,32.1,228.0,568.74,76.0,275.54,2.6,216.0,99057.0
20080331:1800,16.04,37.52,23.0,65.03,19.0,281.04,2.48,217.0,99066.0
20080331:1900,15.58,42.94,0.0,-0.0,0.0,286.54,2.37,222.0,99124.0
20080331:2000,15.11,48.35,0.0,-0.0,0.0,292.05,2.25,245.0,99163.0
20080331:2100,14.65,53.77,0.0,-0.0,0.0,297.55,2.14,279.0,99212.0
20080331:2200,14.18,59.19,0.0,-0.0,0.0,303.05,2.02,307.0,99231.0
20080331:2300,13.72,64.61,0.0,-0.0,0.0,308.55,1.91,327.0,99212.0
20190401:0000,13.25,70.03,0.0,-0.0,0.0,314.05,1.79,242.0,98175.0
20190401:0100,12.79,75.45,0.0,-0.0,0.0,319.56,1.68,240.0,98165.0
20190401:0200,12.33,80.86,0.0,-0.0,0.0,325.06,1.56,244.0,98126.0
20190401:0300,11.86,86.28,0.0,-0.0,0.0,330.56,1.45,241.0,98107.0
20190401:0400,11.4,91.7,0.0,-0.0,0.0,336.06,1.33,253.0,98097.0
20190401:0500,10.93,97.12,0.0,-0.0,0.0,341.56,1.21,270.0,98088.0
20190401:0600,10.47,100.0,0.0,0.0,0.0,347.07,1.1,287.0,98126.0
20190401:0700,10.0,100.0,121.0,87.3,100.0,352.57,0.98,263.0,98194.0
20190401:0800,13.09,86.2,297.0,223.46,200.0,317.0,2.0,231.0,98272.0
20190401:0900,14.07,79.8,521.0,483.95,230.0,311.2,2.21,222.0,98311.0
20190401:1000,14.91,74.05,538.0,244.94,359.0,325.2,2.55,212.0,98349.0
20190401:1100,15.42,71.25,726.0,492.8,325.0,323.0,2.83,208.0,98378.0
20190401:1200,15.71,70.05,690.0,352.89,392.0,325.6,3.1,208.0,98349.0
20190401:1300,15.84,68.9,514.0,118.17,417.0,314.8,2.97,209.0,98311.0
20190401:1400,16.49,65.4,575.0,294.11,356.0,311.4,3.24,206.0,98281.0
20190401:1500,16.3,65.1,317.0,49.93,286.0,308.2,3.38,207.0,98281.0
20190401:1600,16.02,65.95,414.0,604.75,137.0,308.0,3.38,210.0,98223.0
20190401:1700,15.5,69.25,201.0,381.65,99.0,306.8,2.76,209.0,98233.0
20190401:1800,14.56,75.3,17.0,16.26,16.0,299.4,2.14,211.0,98252.0
20190401:1900,14.15,75.75,0.0,-0.0,0.0,301.0,1.59,217.0,98291.0
20190401:2000,13.3,84.75,0.0,-0.0,0.0,295.4,1.17,230.0,98388.0
20190401:2100,12.61,84.5,0.0,-0.0,0.0,290.6,0.83,273.0,98446.0
