time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20180103:2200,11.2,83.8,0.0,-0.0,0.0,293.8,2.0,317.0,99706.0
20180103:2300,10.39,85.8,0.0,-0.0,0.0,292.2,2.0,321.0,99657.0
20180104:0000,9.76,86.55,0.0,-0.0,0.0,290.4,2.07,322.0,99609.0
20180104:0100,9.14,87.3,0.0,-0.0,0.0,289.4,2.14,323.0,99551.0
20180104:0200,8.66,88.45,0.0,-0.0,0.0,288.4,2.21,326.0,99541.0
20180104:0300,8.39,89.3,0.0,-0.0,0.0,289.6,2.21,331.0,99531.0
20180104:0400,8.11,89.85,0.0,-0.0,0.0,288.0,2.21,336.0,99522.0
20180104:0500,7.99,89.4,0.0,-0.0,0.0,287.2,2.07,337.0,99502.0
20180104:0600,8.0,88.25,0.0,-0.0,0.0,286.6,2.0,335.0,99493.0
20180104:0700,8.15,84.05,0.0,-0.0,0.0,286.8,2.34,328.0,99493.0
20180104:0800,8.75,81.3,35.0,0.0,35.0,287.4,2.14,319.0,99483.0
20180104:0900,12.17,71.0,257.0,672.86,69.0,289.4,1.66,302.0,99502.0
20180104:1000,16.82,52.5,401.0,821.21,73.0,295.0,1.52,269.0,99531.0
20180104:1100,19.63,42.15,488.0,835.47,90.0,301.4,2.0,235.0,99502.0
20180104:1200,20.41,41.65,525.0,865.23,88.0,304.8,2.48,222.0,99386.0
20180104:1300,20.71,42.35,495.0,837.62,90.0,306.4,2.83,221.0,99260.0
20180104:1400,20.69,43.45,412.0,796.24,83.0,307.2,2.9,223.0,99192.0
20180104:1500,20.38,45.0,278.0,695.91,70.0,305.8,2.76,225.0,99134.0
20180104:1600,19.53,48.7,113.0,464.96,44.0,313.8,2.34,230.0,99086.0
20180104:1700,18.37,54.05,0.0,-0.0,0.0,300.4,1.93,244.0,99047.0
20180104:1800,17.31,60.0,0.0,-0.0,0.0,297.6,1.79,271.0,99027.0
20180104:1900,15.72,68.1,0.0,-0.0,0.0,297.8,1.93,289.0,99037.0
20180104:2000,14.14,73.35,0.0,-0.0,0.0,298.0,2.0,295.0,99008.0
20180104:2100,12.75,78.1,0.0,-0.0,0.0,296.0,2.07,298.0,98989.0
20180104:2200,11.63,82.8,0.0,-0.0,0.0,297.2,2.14,300.0,98989.0
20180104:2300,10.73,86.25,0.0,-0.0,0.0,295.2,2.14,302.0,98931.0
20180105:0000,10.15,88.15,0.0,-0.0,0.0,296.8,2.07,302.0,98863.0
